"donor_id","true_age","predicted_age","n_cells_aggregated"
"aida:KR_SGI_H061",26,33.952611715532,459
"aida:KR_SGI_H062",39,34.2091431640543,856
"aida:KR_SGI_H063",24,22.4895524565779,598
"aida:KR_SGI_H064",43,39.3836205620545,622
"aida:KR_SGI_H065",47,43.9886162158677,401
"aida:KR_SGI_H066",46,40.0841483679556,591
"aida:KR_SGI_H067",38,31.1351055968545,709
"aida:KR_SGI_H068",28,28.1101215601399,644
"aida:KR_SGI_H069",34,36.9428676374177,603
"aida:KR_SGI_H070",26,35.8027780700637,553
"aida:KR_SGI_H071",62,49.4065345699588,465
"aida:KR_SGI_H072",27,27.2982038379841,709
"aida:KR_SGI_H073",29,26.0898419160032,838
"aida:KR_SGI_H074",59,42.7637372090389,676
"aida:KR_SGI_H075",39,47.6133664653656,573
"aida:KR_SGI_H076",29,25.6794529599932,720
"aida:KR_SGI_H077",26,26.5369327582846,737
"aida:KR_SGI_H078",56,40.6815210213441,685
"aida:KR_SGI_H079",66,55.5816004071339,837
"aida:KR_SGI_H080",34,35.6818850510882,827
"aida:KR_SGI_H081",38,41.6351763641802,717
"aida:KR_SGI_H082",34,37.5911537840365,585
"aida:KR_SGI_H083",39,40.3973105084588,608
"aida:KR_SGI_H084",36,31.6687649942581,970
"aida:KR_SGI_H085",25,24.3432180769357,407
"aida:KR_SGI_H086",41,39.4910207144965,1095
"aida:KR_SGI_H087",57,61.6578928436189,737
"aida:KR_SGI_H088",49,45.6425100647257,510
"aida:KR_SGI_H089",54,49.0008611987745,1097
"aida:KR_SGI_H090",34,46.3745806526109,409
"aida:KR_SGI_H091",39,31.8197736099001,614
"aida:KR_SGI_H092",38,45.7466080996151,670
"aida:KR_SGI_H093",64,42.7507617580391,908
"aida:KR_SGI_H094",30,41.2264676565699,482
"aida:KR_SGI_H095",40,37.6371691170178,686
"aida:KR_SGI_H096",37,33.9859393183819,989
"aida:KR_SGI_H097",41,42.833747606049,585
"aida:KR_SGI_H098",27,29.6616515863709,622
"aida:KR_SGI_H099",26,39.724492125191,794
"aida:KR_SGI_H100",58,44.6357765346701,221
"aida:KR_SGI_H101",39,37.0617053820816,1061
"aida:KR_SGI_H102",43,54.2505026275097,566
"aida:KR_SGI_H103",54,51.9365253789111,962
"aida:KR_SGI_H104",57,39.7741737460644,963
"aida:KR_SGI_H105",59,41.5215252704442,601
"aida:KR_SGI_H106",47,39.8807823958905,722
"aida:KR_SGI_H107",61,58.1556610026293,602
"aida:KR_SGI_H108",56,45.518601653122,1016
"aida:KR_SGI_H109",56,43.6410334643382,722
"aida:KR_SGI_H110",61,49.685816911134,798
"aida:KR_SGI_H111",60,54.0887718365114,1024
"aida:KR_SGI_H112",59,35.5300776824295,464
"aida:KR_SGI_H113",62,59.0217571895395,412
"aida:KR_SGI_H114",58,50.5641367660155,579
"aida:KR_SGI_H115",46,52.3511555386301,345
"aida:KR_SGI_H116",68,51.7187256807762,728
"aida:KR_SGI_H117",57,50.2818610322892,664
"aida:KR_SGI_H118",42,39.8956182100493,709
