donor_id,true_age,predicted_age,predicted_age_sd,n_cells,pseudocell_n
1038_1039,61.0,65.88147113186227,7.277113252982736,285,100
908_909,63.0,60.2317497120461,8.273071052976649,171,100
910_911,42.0,49.30510063207957,7.896136702655899,437,100
1040_1041,72.0,64.1587996332414,6.8195809643837,351,100
909_910,63.0,54.22447825649241,7.208839567289516,230,100
1037_1038,58.0,48.04257644307358,7.658675088734662,166,100
1034_1035,64.0,69.56616746172136,6.497639175761263,410,100
911_912,65.0,57.728397164690186,6.322659100138786,227,100
907_908,71.0,57.163512250036966,7.383198291877913,159,100
912_913,73.0,57.85609833496679,6.531726448935564,190,100
1035_1036,70.0,63.10787380335203,7.27189591579559,188,100
1039_1040,75.0,68.79935379081992,5.408076348310902,75,100
872_873,81.0,75.87430998297715,6.499123883215301,528,100
915_916,73.0,68.50506938968759,8.194162725952276,154,100
914_915,87.0,69.02809205255619,6.3742854434920275,641,100
917_918,86.0,69.28434027109734,6.2413837757047235,249,100
1042_1043,57.0,58.87946291224452,7.766386425205347,375,100
869_870,85.0,65.01865486124865,7.279926516095861,219,100
916_917,72.0,65.92418797837034,6.911776798814374,222,100
867_868,72.0,67.2060920783514,7.941253599196254,254,100
694_695,24.0,49.80700499318661,6.988864557999402,355,100
1041_1042,72.0,65.43580971032002,6.615904934302414,208,100
868_869,87.0,64.30615421837533,6.5752206093550685,200,100
871_872,85.0,71.33621055256235,6.218963059867995,61,100
696_697,81.0,80.51461789135098,6.21530614748689,185,100
695_696,72.0,82.12732627726211,6.089995391883769,187,100
697_698,85.0,85.73807398410487,6.063286307720687,380,100
704_705,88.0,85.25875122706181,5.773479012073118,305,100
699_700,65.0,79.88273137832148,7.304244853710637,475,100
664_665,56.0,52.60238589636414,6.612744824624638,197,100
663_664,89.0,74.03483496521748,6.547159201122009,169,100
662_663,81.0,81.22392330257722,5.417961548938878,116,100
661_662,78.0,84.19984399752464,5.828707188012705,146,100
701_702,73.0,73.36426351437785,7.059627523334787,216,100
700_701,71.0,62.57619268708607,5.970964078278605,180,100
702_703,84.0,73.27876798911102,4.377503193450685,86,100
881_882,76.0,70.56586823764846,6.510357834026766,695,100
885_886,87.0,64.8709624499797,8.488154480478572,100,100
883_884,74.0,76.11208349551292,6.105897361808137,137,100
884_885,87.0,70.68764556320119,5.325152372103177,216,100
879_880,83.0,76.18749243077113,6.660847936165595,306,100
880_881,81.0,78.09053238646335,7.151862580637793,150,100
874_875,66.0,59.555825668635435,7.7606196551071465,240,100
877_878,66.0,60.742507907167834,7.043979984535491,287,100
875_876,77.0,64.13297942432315,7.296937836566261,68,100
878_879,85.0,71.90479580860952,6.468163630514702,299,100
882_883,79.0,66.99999533628447,6.601561428666295,85,100
918_919,75.0,72.58072555368099,7.03731865881998,279,100
876_877,76.0,57.23602294107394,5.699962614684914,72,100
873_874,71.0,70.48621175962916,5.77812762056311,108,100
371_372,41.0,49.94814279343876,6.22387132779414,108,100
374_375,50.0,67.58900996254197,5.554145628292198,217,100
886_887,70.0,80.31598175669274,5.948893930281872,476,100
377_378,38.0,37.267276083961484,7.2634801321617894,359,100
889_890,81.0,78.09855367842191,5.690937184046732,176,100
378_379,22.0,42.276082328438896,7.441830582926553,301,100
372_373,49.0,59.18288192424402,6.696878407626615,293,100
379_380,51.0,56.26394352790511,7.860107762982666,376,100
370_371,26.0,38.17012795833037,6.450358182116431,174,100
373_374,78.0,74.44302599802853,6.4154232819445545,216,100
887_888,68.0,70.86587976009875,5.916652822916192,402,100
376_377,79.0,70.8437010060534,6.015995478888456,246,100
888_889,83.0,68.88414219482878,6.339652686630061,89,100
305_306,74.0,74.01592081800165,6.599520249882656,347,100
298_299,74.0,62.68456814196438,6.000490687701508,265,100
380_381,79.0,68.3821526697128,6.900348350391485,254,100
296_297,80.0,71.88706651011437,6.57100781836008,257,100
299_300,95.0,77.72269333575441,4.915765026335462,108,100
302_303,83.0,76.4816863281259,6.633743203643998,283,100
297_298,82.0,81.0710981898223,5.611338549163185,131,100
294_295,54.0,61.24918104597164,7.334202149372051,248,100
304_305,68.0,69.09686612695735,6.999505270518362,148,100
301_302,88.0,70.19343099175393,6.977429593853569,190,100
303_304,85.0,64.70856813006004,6.390013809268885,98,100
295_296,87.0,69.3966160527716,6.273324044038944,237,100
293_294,86.0,73.2528991481186,5.699737556881249,84,100
309_310,75.0,74.30923668783332,7.181304420728237,139,100
306_307,80.0,62.86542198884059,6.739220686045182,114,100
317_318,66.0,68.11332895882968,6.280079068450961,416,100
316_317,76.0,53.369812127674095,8.187992748210442,110,100
318_319,88.0,75.89122878533887,6.446556882010838,377,100
312_313,84.0,77.5518259587121,6.63038170658306,538,100
314_315,80.0,64.59946049452131,6.383860069745846,269,100
310_311,80.0,79.4541455029157,6.013356276742221,374,100
313_314,33.0,40.84787756682069,6.890051554237043,254,100
315_316,80.0,81.60223199013573,7.391950775317673,152,100
307_308,91.0,80.60951146928512,6.286047849189686,171,100
311_312,88.0,81.7008556740366,6.228747136770013,47,100
292_293,76.0,45.95106038930245,6.398547126659431,82,100
308_309,79.0,57.26723136607441,3.8036575648245736,29,100
325_326,66.0,70.44283705839013,6.311766792061551,197,100
1043_1044,71.0,77.8003006905653,6.576625972253379,453,100
1045_1046,67.0,75.4500305813666,5.845502482122983,277,100
321_322,76.0,72.15967977025936,6.186191850292414,391,100
1048_1049,64.0,63.42370497156694,6.713223264925547,422,100
324_325,97.0,88.09259828124554,5.738749039817004,427,100
1046_1047,62.0,51.368542780187624,6.6811031882910825,179,100
323_324,77.0,72.97551111891984,5.816289699819058,318,100
1044_1045,65.0,65.82491666061976,6.93132310565666,202,100
322_323,90.0,80.04239422583132,6.158049998205478,171,100
326_327,66.0,57.59575525892085,6.190048640990136,143,100
319_320,84.0,84.00192542696543,4.784997828319504,55,100
1047_1048,71.0,55.63432422556344,6.4572391801159705,44,100
320_321,89.0,77.28904706437214,5.5150686651613325,136,100
1055_1056,71.0,72.24068527242508,8.772383776000211,139,100
1051_1052,63.0,64.85370265808984,7.530234704710245,152,100
1054_1055,75.0,81.57221087369426,6.018631930587336,615,100
331_332,24.0,45.57922398482829,5.512792436193747,384,100
1056_1057,68.0,71.39413525676383,7.7338508802242485,156,100
1049_1050,61.0,71.91786048473874,7.873366868708379,149,100
1057_1058,71.0,72.67741929379291,5.470347923871443,238,100
333_334,51.0,73.02131794929477,5.930501345432316,423,100
1053_1054,62.0,66.93575553537592,6.932703126550721,465,100
1052_1053,75.0,79.9015711055812,5.629487508832317,398,100
330_331,63.0,70.34747505408673,5.776001541020607,128,100
327_328,23.0,36.71179961574412,5.001359800646713,215,100
332_333,62.0,44.0279091182511,6.865456521644108,350,100
1050_1051,57.0,62.77607570830261,6.960251715971351,109,100
924_925,39.0,54.977385804080896,6.625361161808837,308,100
922_923,36.0,54.357459139333905,5.057695576858336,465,100
1058_1059,60.0,54.31712433869425,5.783980420489831,148,100
921_922,76.0,70.03817370136832,7.315387188101141,95,100
334_335,60.0,43.16015546673825,6.400294612012736,204,100
1064_1065,70.0,66.43588002776299,5.879018593541398,183,100
1061_1062,62.0,70.24103643111981,6.801594174800262,294,100
1059_1060,70.0,73.25700384464584,6.316407144463989,367,100
1060_1061,59.0,70.69860378842831,5.580768457560583,425,100
1063_1064,77.0,69.20468312467744,5.658319054846606,122,100
923_924,38.0,56.902329759156736,7.4482363030313286,717,100
920_921,41.0,54.62215660986287,6.4354969409992355,39,100
1065_1066,65.0,62.722278491876324,5.779251874402886,118,100
1062_1063,59.0,65.65263333322827,6.7098546418779215,149,100
769_770,62.0,78.64325354918688,6.3141116947530165,344,100
760_761,55.0,70.2605239631116,5.296846039616094,219,100
761_762,69.0,76.32806615948076,5.195258377757161,511,100
762_763,32.0,48.082597131093955,7.6408439522803775,438,100
754_755,78.0,66.68288195375038,5.6997388152511075,103,100
759_760,71.0,73.00848036578358,6.413346057404759,236,100
758_759,75.0,70.5922317241606,6.662487258359918,270,100
